name,CH4/MSI 
1612P1,20.67407249
1612P2,21.06499356
1612P3,20.76343984
1612P4,18.08246873
2046P1,15.32474106
2046P2,11.01603192
2046P3,15.08358895
2046P4,16.87707045
2175P1,21.76365408
2175P2,16.20437265
2175P3,14.14614893
2175P4,17.08105268
2179P1,14.54676764
2179P2,18.64971469
2179P3,18.47115126
2179P4,15.61869158
