Sample,condition,type
13035P1,MAP,Paired-end
13035P2,COS,Paired-end
13035P3,HPO,Paired-end
13035P4,CTL,Paired-end
14100P1,CTL,Paired-end
14100P2,HPO,Paired-end
14100P3,COS,Paired-end
14100P4,MAP,Paired-end
14188P1,HPO,Paired-end
14188P2,MAP,Paired-end
14188P3,CTL,Paired-end
14188P4,COS,Paired-end
14201P1,COS,Paired-end
14201P2,CTL,Paired-end
14201P3,MAP,Paired-end
14201P4,HPO,Paired-end
