,condition,type
1612P1,HPO,Paired-end
1612P2,MAP,Paired-end
1612P3,CTL,Paired-end
1612P4,COS,Paired-end
2046P1,MAP,Paired-end
2046P2,COS,Paired-end
2046P3,HPO,Paired-end
2046P4,CTL,Paired-end
2175P1,CTL,Paired-end
2175P2,HPO,Paired-end
2175P3,COS,Paired-end
2175P4,MAP,Paired-end
2179P1,COS,Paired-end
2179P2,CTL,Paired-end
2179P3,MAP,Paired-end
2179P4,HPO,Paired-end
