name,CH4.MSI
13035P1,18.99832877
13035P2,8.212965255
13035P3,17.09600912
13035P4,18.85891284
14100P1,18.3062015
14100P2,19.10170792
14100P3,13.19148729
14100P4,19.02395487
14188P1,21.89124942
14188P2,20.63400112
14188P3,25.11826728
14188P4,14.19250032
14201P1,18.29439641
14201P2,15.81393938
14201P3,14.59272901
14201P4,17.76048036
