name,CH4.CO2
13035P1,0.029414921
13035P2,0.012070847
13035P3,0.030170551
13035P4,0.028721453
14100P1,0.030161267
14100P2,0.02984088
14100P3,0.022784446
14100P4,0.028740026
14188P1,0.029055444
14188P2,0.026420966
14188P3,0.030097144
14188P4,0.016649027
14201P1,0.028660164
14201P2,0.027012063
14201P3,0.025872144
14201P4,0.028091761
