name,CH4/FPCM 
1612P1,13.6022888
1612P2,16.07685488
1612P3,14.67265149
1612P4,14.63328562
2046P1,11.07431149
2046P2,8.997275718
2046P3,9.866952482
2046P4,11.70483134
2175P1,16.54633168
2175P2,12.52758812
2175P3,13.81247846
2175P4,14.61697964
2179P1,14.37026265
2179P2,14.59566212
2179P3,14.87458194
2179P4,12.20155707
