name,CH4/lait 
1612P1,13.05456085
1612P2,13.53561805
1612P3,12.84388014
1612P4,11.45245974
2046P1,9.300628296
2046P2,6.461337942
2046P3,9.551100447
2046P4,10.74371468
2175P1,16.19282912
2175P2,12.49160103
2175P3,10.48455997
2175P4,12.37473838
2179P1,11.26417648
2179P2,14.34154634
2179P3,14.57982741
2179P4,12.18051045
