name,CH4.FPMC
13035P1,16.25353068
13035P2,7.288568909
13035P3,12.40332787
13035P4,13.2004879
14100P1,12.65468222
14100P2,16.29037861
14100P3,9.507339242
14100P4,15.91054773
14188P1,16.93874622
14188P2,19.34138684
14188P3,20.89008621
14188P4,9.867544232
14201P1,13.19838956
14201P2,14.68342018
14201P3,13.70962893
14201P4,15.40795892
